ID,Status,Type,Base Cost,GST Amount,Platform Fee,Payment Gateway Fee,Total (incl\. GST & fees),Currency,Rider,Driver
249,Requested,ride,68,3.4,2,0,73.4,INR,2,null
250,Requested,ride,68,3.4,2,0,73.4,INR,2,null
251,RiderCanceled,ride,104,5.2,2,0,111.2,INR,2,null
252,RiderCanceled,ride,104,5.2,2,0,111.2,INR,2,null
253,RiderCanceled,ride,50,2.5,2,0,54.5,INR,2,null
254,RiderCanceled,ride,50,2.5,2,0,54.5,INR,2,null
255,RiderCanceled,ride,50,2.5,2,0,54.5,INR,2,null
256,RiderCanceled,ride,50,2.5,2,0,54.5,INR,2,null
257,RiderCanceled,ride,122,6.1,2,0,130.1,INR,2,null
258,RiderCanceled,ride,68,3.4,2,0,73.4,INR,2,null
259,RiderCanceled,ride,50,2.5,2,0,54.5,INR,2,null
260,Requested,ride,86,4.3,2,0,92.3,INR,2,null
261,Expired,ride,50,2.5,2,0,54.5,INR,2,null
262,Requested,ride,104,5.2,2,0,111.2,INR,2,null
263,RiderCanceled,ride,122,6.1,2,0,130.1,INR,2,null
264,RiderCanceled,ride,104,5.2,2,0,111.2,INR,2,null
265,Expired,ride,86,4.3,2,0,92.3,INR,4,null
266,RiderCanceled,ride,104,5.2,2,0,111.2,INR,2,null
267,RiderCanceled,ride,86,4.3,2,0,92.3,INR,2,null
268,RiderCanceled,ride,86,4.3,2,0,92.3,INR,3,null
269,Expired,ride,104,5.2,2,0,111.2,INR,3,null
270,Finished,ride,104,5.2,2,0,111.2,INR,2,7
271,Finished,ride,104,5.2,2,0,111.2,INR,2,7
272,Finished,ride,104,5.2,2,0,111.2,INR,2,7
273,RiderCanceled,ride,104,5.2,2,0,111.2,INR,2,null
274,RiderCanceled,ride,104,5.2,2,0,111.2,INR,2,null
275,Finished,ride,50,2.5,2,0,54.5,INR,2,7
276,Finished,ride,104,5.2,2,0,111.2,INR,2,7
277,Finished,ride,122,6.1,2,0,130.1,INR,2,7
278,Finished,ride,122,6.1,2,0,130.1,INR,2,7
279,Finished,ride,122,6.1,2,0,130.1,INR,2,7
280,Finished,ride,104,5.2,2,0,111.2,INR,2,7
281,Finished,ride,122,6.1,3,0,131.1,INR,2,7
282,Finished,ride,212,10.6,3,0,225.6,INR,2,7
283,RiderCanceled,ride,104,5.2,3,0,112.2,INR,2,null
284,Finished,ride,122,6.1,3,0,131.1,INR,2,7
285,Expired,ride,122,6.1,3,0,9.1,INR,5,null
286,Finished,ride,122,6.1,3,0,131.1,INR,5,7
287,Finished,ride,176,8.8,3,0,187.8,INR,6,7
288,Finished,ride,230,11.5,3,0,244.5,INR,6,7
289,Finished,ride,122,6.1,3,0,131.1,INR,6,7
